Date,Open,High,Low,Close*,Adj Close**,Volume
"March 1, 2017",851.38,858,849.02,856.75,856.75,"1,818,700"
"February 28, 2017",847.35,848.83,841.44,844.93,844.93,"1,383,100"
"February 27, 2017",844.95,850.67,843.01,849.67,849.67,"1,010,300"
"February 24, 2017",847.65,848.36,842.96,847.81,847.81,"1,346,200"
"February 23, 2017",851.08,852.62,842.5,851,851,"1,386,700"
"February 22, 2017",848,853.79,846.71,851.36,851.36,"1,224,400"
"February 21, 2017",847.99,852.2,846.55,849.27,849.27,"1,260,300"
"February 17, 2017",841.31,846.94,839.78,846.55,846.55,"1,461,200"
"February 16, 2017",838.5,842.69,837.26,842.17,842.17,"1,005,100"
"February 15, 2017",838.81,841.77,836.22,837.32,837.32,"1,357,200"
"February 14, 2017",839.77,842,835.83,840.03,840.03,"1,296,300"
"February 13, 2017",837.7,841.74,836.25,838.96,838.96,"1,295,700"
"February 10, 2017",832.95,837.15,830.51,834.85,834.85,"1,415,100"
"February 9, 2017",831.73,831.98,826.5,830.06,830.06,"1,194,200"
"February 8, 2017",830.53,834.25,825.11,829.88,829.88,"1,302,200"
"February 7, 2017",825.5,831.92,823.29,829.23,829.23,"1,666,600"
"February 6, 2017",820.92,822.39,814.29,821.62,821.62,"1,350,900"
"February 3, 2017",823.13,826.13,819.35,820.13,820.13,"1,528,100"
"February 2, 2017",815,824.56,812.05,818.26,818.26,"1,689,200"
"February 1, 2017",824,824,812.25,815.24,815.24,"2,251,000"
"January 31, 2017",819.5,823.07,813.4,820.19,820.19,"2,020,200"
"January 30, 2017",837.06,837.23,821.03,823.83,823.83,"3,516,900"
"January 27, 2017",859,867,841.9,845.03,845.03,"3,752,500"
"January 26, 2017",859.05,861,850.52,856.98,856.98,"3,493,300"
"January 25, 2017",853.55,858.79,849.74,858.45,858.45,"1,655,400"
"January 24, 2017",846.98,851.52,842.28,849.53,849.53,"1,688,400"
"January 23, 2017",831.61,845.54,828.7,844.43,844.43,"2,457,400"
"January 20, 2017",829.09,829.24,824.6,828.17,828.17,"1,306,200"
"January 19, 2017",829,833,823.96,824.37,824.37,"1,070,500"
"January 18, 2017",829.8,829.81,824.08,829.02,829.02,"1,027,700"
"January 17, 2017",830,830.18,823.2,827.46,827.46,"1,439,700"
"January 13, 2017",831,834.65,829.52,830.94,830.94,"1,290,200"
"January 12, 2017",828.38,830.38,821.01,829.53,829.53,"1,349,500"
"January 11, 2017",826.62,829.9,821.47,829.86,829.86,"1,325,400"
"January 10, 2017",827.07,829.41,823.14,826.01,826.01,"1,197,400"
"January 9, 2017",826.37,830.43,821.62,827.18,827.18,"1,406,800"
"January 6, 2017",814.99,828.96,811.5,825.21,825.21,"2,017,100"
"January 5, 2017",807.5,813.74,805.92,813.02,813.02,"1,340,500"
"January 4, 2017",809.89,813.43,804.11,807.77,807.77,"1,515,300"
"January 3, 2017",800.62,811.44,796.89,808.01,808.01,"1,959,000"
"December 30, 2016",803.21,803.29,789.62,792.45,792.45,"1,735,900"
"December 29, 2016",802.33,805.75,798.14,802.88,802.88,"1,056,500"
"December 28, 2016",813.33,813.33,802.44,804.57,804.57,"1,214,800"
"December 27, 2016",808.68,816,805.8,809.93,809.93,"976,000"
"December 23, 2016",808.01,810.97,805.11,807.8,807.8,"764,100"
"December 22, 2016",809.1,811.07,806.03,809.68,809.68,"1,131,600"
"December 21, 2016",815.72,815.72,805.1,812.2,812.2,"1,459,600"
"December 20, 2016",813.37,816.49,811,815.2,815.2,"1,271,900"
"December 19, 2016",809.28,816.22,804.5,812.5,812.5,"1,263,600"
"December 16, 2016",818.31,819.2,808.12,809.84,809.84,"2,589,100"
"December 15, 2016",817.36,823,812,815.65,815.65,"1,769,700"
"December 14, 2016",815.92,824.26,812.78,817.89,817.89,"1,799,700"
"December 13, 2016",812.39,824.3,811.94,815.34,815.34,"2,128,200"
"December 12, 2016",804.82,811.35,804.53,807.9,807.9,"1,628,600"
"December 9, 2016",799.3,809.95,798.05,809.45,809.45,"1,904,500"
"December 8, 2016",792.95,799,787.91,795.17,795.17,"1,612,500"
"December 7, 2016",779.95,792,773.53,791.47,791.47,"2,029,400"
"December 6, 2016",780.19,785.28,773.32,776.18,776.18,"1,734,100"
"December 5, 2016",770,780,766.97,778.22,778.22,"1,688,500"
"December 2, 2016",761.9,770.5,759,764.46,764.46,"1,718,800"
"December 1, 2016",778.55,778.6,753.36,764.33,764.33,"2,867,100"
"November 30, 2016",789.1,791.51,773.15,775.88,775.88,"2,279,100"
"November 29, 2016",788.38,796.44,785.34,789.44,789.44,"1,562,000"
"November 28, 2016",778.35,799.74,778.1,785.79,785.79,"2,575,400"
"November 25, 2016",782.61,782.9,778.19,780.23,780.23,"613,500"
"November 23, 2016",789.52,789.52,772.65,779,779,"1,310,500"
"November 22, 2016",788.99,793.77,783.74,785,785,"1,394,200"
"November 21, 2016",778.1,786.55,776.3,784.8,784.8,"1,630,800"
"November 18, 2016",787.17,791.29,775.35,775.97,775.97,"1,806,300"
"November 17, 2016",782.5,788.9,779.85,786.16,786.16,"1,533,700"
"November 16, 2016",770.42,783.5,766.33,779.98,779.98,"1,794,300"
"November 15, 2016",765.47,780.24,765.22,775.16,775.16,"2,943,900"
"November 14, 2016",771.76,771.78,743.59,753.22,753.22,"3,672,000"
"November 11, 2016",776.81,777.29,765.54,771.75,771.75,"3,592,600"
"November 10, 2016",810,810.06,768.23,780.29,780.29,"5,909,600"
"November 9, 2016",801.83,811.71,792.04,805.59,805.59,"3,098,500"
"November 8, 2016",802.03,816.04,799.62,811.98,811.98,"1,754,700"
"November 7, 2016",794.95,805,792.9,802.03,802.03,"1,992,600"
,,,,,,
