Date,Open,High,Low,Close*,Adj Close**,Volume
17-Feb-17,841.31,846.94,839.78,846.55,846.55,1461200.00
16-Feb-17,838.50,842.69,837.26,842.17,842.17,1005100.00
15-Feb-17,838.81,841.77,836.22,837.32,837.32,1357200.00
14-Feb-17,839.77,842.00,835.83,840.03,840.03,1296300.00
13-Feb-17,837.70,841.74,836.25,838.96,838.96,1295700.00
10-Feb-17,832.95,837.15,830.51,834.85,834.85,1415100.00
09-Feb-17,831.73,831.98,826.50,830.06,830.06,1194200.00
08-Feb-17,830.53,834.25,825.11,829.88,829.88,1302200.00
07-Feb-17,825.50,831.92,823.29,829.23,829.23,1666600.00
06-Feb-17,820.92,822.39,814.29,821.62,821.62,1350900.00
03-Feb-17,823.13,826.13,819.35,820.13,820.13,1528100.00
02-Feb-17,815.00,824.56,812.05,818.26,818.26,1689200.00
01-Feb-17,824.00,824.00,812.25,815.24,815.24,2251000.00
31-Jan-17,819.50,823.07,813.40,820.19,820.19,2020200.00
30-Jan-17,837.06,837.23,821.03,823.83,823.83,3516900.00
27-Jan-17,859.00,867.00,841.90,845.03,845.03,3752500.00
26-Jan-17,859.05,861.00,850.52,856.98,856.98,3493300.00
25-Jan-17,853.55,858.79,849.74,858.45,858.45,1655400.00
24-Jan-17,846.98,851.52,842.28,849.53,849.53,1688400.00
23-Jan-17,831.61,845.54,828.70,844.43,844.43,2457400.00
20-Jan-17,829.09,829.24,824.60,828.17,828.17,1306200.00
19-Jan-17,829.00,833.00,823.96,824.37,824.37,1070500.00
18-Jan-17,829.80,829.81,824.08,829.02,829.02,1027700.00
17-Jan-17,830.00,830.18,823.20,827.46,827.46,1439700.00
13-Jan-17,831.00,834.65,829.52,830.94,830.94,1290200.00
12-Jan-17,828.38,830.38,821.01,829.53,829.53,1349500.00
11-Jan-17,826.62,829.90,821.47,829.86,829.86,1325400.00
10-Jan-17,827.07,829.41,823.14,826.01,826.01,1197400.00
09-Jan-17,826.37,830.43,821.62,827.18,827.18,1406800.00
06-Jan-17,814.99,828.96,811.50,825.21,825.21,2017100.00
05-Jan-17,807.50,813.74,805.92,813.02,813.02,1340500.00
04-Jan-17,809.89,813.43,804.11,807.77,807.77,1515300.00
03-Jan-17,800.62,811.44,796.89,808.01,808.01,1959000.00
30-Dec-16,803.21,803.29,789.62,792.45,792.45,1735900.00
29-Dec-16,802.33,805.75,798.14,802.88,802.88,1056500.00
28-Dec-16,813.33,813.33,802.44,804.57,804.57,1214800.00
27-Dec-16,808.68,816.00,805.80,809.93,809.93,976000.00
23-Dec-16,808.01,810.97,805.11,807.80,807.80,764100.00
22-Dec-16,809.10,811.07,806.03,809.68,809.68,1131600.00
21-Dec-16,815.72,815.72,805.10,812.20,812.20,1459600.00
20-Dec-16,813.37,816.49,811.00,815.20,815.20,1271900.00
19-Dec-16,809.28,816.22,804.50,812.50,812.50,1263600.00
16-Dec-16,818.31,819.20,808.12,809.84,809.84,2589100.00
15-Dec-16,817.36,823.00,812.00,815.65,815.65,1769700.00
14-Dec-16,815.92,824.26,812.78,817.89,817.89,1799700.00
13-Dec-16,812.39,824.30,811.94,815.34,815.34,2128200.00
12-Dec-16,804.82,811.35,804.53,807.90,807.90,1628600.00
09-Dec-16,799.30,809.95,798.05,809.45,809.45,1904500.00
08-Dec-16,792.95,799.00,787.91,795.17,795.17,1612500.00
07-Dec-16,779.95,792.00,773.53,791.47,791.47,2029400.00
06-Dec-16,780.19,785.28,773.32,776.18,776.18,1734100.00
05-Dec-16,770.00,780.00,766.97,778.22,778.22,1688500.00
02-Dec-16,761.90,770.50,759.00,764.46,764.46,1718800.00
01-Dec-16,778.55,778.60,753.36,764.33,764.33,2867100.00
30-Nov-16,789.10,791.51,773.15,775.88,775.88,2279100.00
29-Nov-16,788.38,796.44,785.34,789.44,789.44,1562000.00
28-Nov-16,778.35,799.74,778.10,785.79,785.79,2575400.00
25-Nov-16,782.61,782.90,778.19,780.23,780.23,613500.00
23-Nov-16,789.52,789.52,772.65,779.00,779.00,1310500.00
22-Nov-16,788.99,793.77,783.74,785.00,785.00,1394200.00
21-Nov-16,778.10,786.55,776.30,784.80,784.80,1630800.00
18-Nov-16,787.17,791.29,775.35,775.97,775.97,1806300.00
17-Nov-16,782.50,788.90,779.85,786.16,786.16,1533700.00
16-Nov-16,770.42,783.50,766.33,779.98,779.98,1794300.00
15-Nov-16,765.47,780.24,765.22,775.16,775.16,2943900.00
14-Nov-16,771.76,771.78,743.59,753.22,753.22,3672000.00
11-Nov-16,776.81,777.29,765.54,771.75,771.75,3592600.00
10-Nov-16,810.00,810.06,768.23,780.29,780.29,5909600.00
09-Nov-16,801.83,811.71,792.04,805.59,805.59,3098500.00
08-Nov-16,802.03,816.04,799.62,811.98,811.98,1754700.00
07-Nov-16,794.95,805.00,792.90,802.03,802.03,1992600.00
